Costo de la solución:
 1486,2153541339 

1	1	103,888	177	0	52	11	170	164	85	134	84	69	51	0
1	2	128,702	110	0	9	31	163	148	92	135	145	0
1	3	0	0	0	0
1	4	96,178	193	0	196	113	137	89	185	62	160	195	33	61	0
1	5	84,65	157	0	100	150	108	14	133	177	19	8	102	176	65	0
1	6	41,245	155	0	126	60	175	46	34	87	4	127	0
1	7	99,21	156	0	48	36	122	166	20	124	154	15	79	29	0
1	8	63,798	163	0	117	63	107	24	144	74	49	182	16	188	0
1	9	81,03	172	0	17	130	39	109	57	75	162	189	131	80	12	0
1	10	71,715	186	0	58	27	167	78	178	35	180	132	7	149	26	0
1	11	73,294	164	0	3	181	147	73	146	18	106	44	55	151	95	0
1	12	77,565	161	0	186	22	141	91	142	114	156	93	86	157	2	152	0
1	13	75,132	199	0	32	72	118	56	25	110	161	97	187	40	76	0
1	14	86,552	157	0	168	50	169	10	77	165	38	119	129	71	81	0
1	15	74,035	192	0	98	59	103	5	88	37	138	155	47	171	120	139	0
1	16	72,81	198	0	158	43	190	41	115	90	143	68	42	199	136	193	0
1	17	62,912	129	0	159	67	183	116	23	104	96	6	0
1	18	73,24	170	0	111	99	179	70	128	123	13	83	153	45	125	54	0
1	19	70,058	187	0	101	28	64	94	140	121	82	174	173	21	172	30	0
1	20	50,192	160	0	105	198	53	192	184	197	1	191	194	66	112	0

Tiempo de ejecución:
 8411,91309375 
