Costo de la solución:
 867,173036838783 

1	1	128,04	200	0	81	78	76	71	70	73	77	79	80	63	0
1	2	101,882	200	0	57	59	60	58	56	53	54	55	0
1	3	97,384	200	0	98	96	95	94	92	93	97	100	99	5	0
1	4	97,227	200	0	32	33	31	35	37	38	39	36	34	0
1	5	96,32	200	0	11	12	14	16	15	19	18	17	13	0
1	6	76,069	170	0	90	87	86	83	82	84	85	88	89	91	0
1	7	49,409	160	0	21	22	24	25	27	29	30	28	26	23	0
1	8	56,021	160	0	75	1	2	4	3	7	6	9	8	10	0
1	9	61,558	110	0	47	46	45	48	51	50	52	49	20	0
1	10	57,788	150	0	69	66	68	64	61	72	74	62	65	67	0
1	11	45,47	60	0	41	40	44	42	43	0

Tiempo de ejecución:
 153,991187500003 
