Costo de la solución:
 875,067924491241 

1	1	113,312	146	0	1	51	9	71	65	35	34	78	81	33	50	0
1	2	118,63	178	0	88	62	19	11	64	49	36	47	48	7	52	0
1	3	115,185	196	0	72	75	56	23	67	39	25	55	4	54	26	0
1	4	116,134	189	0	59	61	16	86	38	44	14	43	15	2	58	0
1	5	100,813	161	0	31	10	63	90	32	66	20	30	70	69	27	0
1	6	75,779	152	0	12	80	68	24	29	79	3	77	76	28	0
1	7	98,658	118	0	89	60	83	5	84	17	45	46	8	82	18	0
1	8	58,411	183	0	94	95	97	92	37	98	100	91	85	93	99	96	6	0
1	9	78,142	135	0	13	87	42	57	41	22	74	73	21	40	53	0
1	10	-0,001	0	0	0

Tiempo de ejecución:
 40,282156250003 
