Costo de la solución:
 900,794694406685 

1	1	129,194	200	0	81	78	76	71	70	73	77	79	80	74	0
1	2	102,222	200	0	42	44	60	58	56	53	54	55	68	69	0
1	3	103,578	200	0	98	96	95	94	92	93	97	100	99	10	0
1	4	93,174	180	0	31	35	37	38	39	36	29	27	25	20	0
1	5	96,32	200	0	11	12	14	16	15	19	18	17	13	0
1	6	77,451	190	0	23	26	28	30	34	33	32	24	22	21	0
1	7	76,069	170	0	90	87	86	83	82	84	85	88	89	91	0
1	8	85,362	130	0	66	62	72	61	64	57	59	40	41	0
1	9	56,221	110	0	47	49	52	50	51	48	45	46	43	0
1	10	29,348	70	0	63	65	67	0
1	11	51,85	160	0	75	1	2	4	6	9	8	7	3	5	0

Tiempo de ejecución:
 19,7654374999984 
