Costo de la solución:
 1228,16774491532 

1	1	109,33	118	0	3	121	115	36	85	35	84	128	11	0
1	2	113,289	144	0	114	99	43	86	97	24	98	132	0
1	3	70,092	113	0	52	15	45	91	72	33	10	49	76	0
1	4	91,178	133	0	87	150	19	64	88	40	94	41	141	148	0
1	5	86,894	117	0	32	51	101	116	28	70	22	1	119	77	0
1	6	76,416	168	0	5	71	122	106	73	125	124	123	90	108	103	0
1	7	73,715	193	0	100	2	83	131	59	20	29	129	53	127	126	0
1	8	-0,001	0	0	0
1	9	81,263	180	0	143	135	111	66	136	13	67	134	110	139	0
1	10	82,499	146	0	120	80	31	82	140	113	26	8	60	81	0
1	11	74,184	158	0	27	138	48	112	61	7	69	23	57	6	102	46	0
1	12	78,741	129	0	37	44	107	65	93	42	92	137	147	17	63	0
1	13	95,362	145	0	54	39	89	117	75	105	30	104	9	0
1	14	70,48	163	0	38	62	50	130	34	74	79	21	118	16	78	0
1	15	83,748	190	0	68	14	58	96	95	25	133	55	18	47	0
1	16	40,97	138	0	56	146	149	4	109	142	145	144	12	0

Tiempo de ejecución:
 708,629687499997 
