Costo de la solución:
 1503,56164366218 

1	1	109,925	151	0	11	170	164	85	134	84	14	133	177	0
1	2	96,794	135	0	97	161	110	163	25	118	72	106	44	151	0
1	3	99,736	188	0	125	98	88	37	138	20	166	122	36	155	0
1	4	37,681	78	0	67	159	16	188	0
1	5	98,184	165	0	196	91	113	137	89	185	90	115	160	105	0
1	6	105,035	152	0	63	107	24	145	135	92	148	56	9	0
1	7	87,361	180	0	169	189	31	162	75	57	39	109	130	40	76	0
1	8	95,034	171	0	129	131	80	10	77	165	38	119	71	100	0
1	9	74,869	200	0	150	52	108	69	180	132	7	51	149	60	127	0
1	10	18,626	58	0	157	2	152	0
1	11	72,601	196	0	46	176	102	8	35	178	78	19	128	70	167	111	0
1	12	77,372	170	0	3	55	181	147	73	146	18	32	187	95	0
1	13	79,786	159	0	101	64	28	156	114	142	141	22	93	186	86	112	0
1	14	40,932	95	0	126	17	12	50	168	81	26	0
1	15	73,587	174	0	54	30	48	59	103	5	124	154	15	79	153	29	0
1	16	69,946	192	0	66	136	197	199	42	68	143	41	190	43	184	192	6	0
1	17	40,82	180	0	193	194	191	1	158	198	53	195	33	61	0
1	18	69,499	198	0	4	87	45	58	27	83	123	13	99	179	65	34	175	0
1	19	78,287	161	0	96	104	183	23	62	116	144	74	49	182	117	0
1	20	77,477	183	0	120	171	47	174	82	140	94	121	173	21	172	139	0

Tiempo de ejecución:
 2622,51140625 
