Costo de la solución:
 2090,20477912264 

1   1   209,741	200	0	164	145	116	199	141	41	190	43	197	136	1	191	196	66	194	61	6	0
1   2   227,766	200	0	189	163	157	28	114	94	140	174	173	172	120	48	59	123	139	54	152	0
1   3   111,145	200	0	85	14	177	19	70	99	179	167	102	8	176	65	46	0
1   4   129,382	200	0	126	81	50	12	97	109	56	148	92	135	146	18	159	105	95	0
1   5   116,029	198	0	15	154	124	88	37	20	166	122	36	155	47	82	121	0
1   6   111,181	199	0	117	67	23	160	115	62	185	89	137	143	68	0
1   7   121,827	198	0	132	52	119	38	165	77	80	131	31	162	75	57	0
1   8   127,3	197	0	168	34	134	133	178	78	128	13	83	27	111	45	125	0
1   9   98,161	196	0	40	130	169	10	170	11	69	35	7	0
1   10   142,001	200	0	127	87	4	98	58	175	84	149	60	151	187	55	188	0
1   11   157,265	196	0	106	16	182	144	183	90	42	113	142	91	22	186	86	29	0
1   12   98,508	199	0	63	107	181	73	147	72	118	25	110	32	17	0
1   13   101,28	198	0	112	101	156	21	171	5	103	138	79	153	0
1   14   119,94	197	0	33	195	104	49	44	9	150	108	180	51	0
1   15   81,019	200	0	3	24	74	184	192	158	53	198	96	0
1   16   119,541	182	0	30	64	93	193	76	161	39	129	71	100	26	0
1   17   0	0	0	2	0

Tiempo de ejecución:
 450,383937500003 
