Costo de la solución:
 1183,20522648387 

1   1   173,494	140	0	15	60	71	69	73	49	3	40	39	72	12	17	0
1   2   165,095	136	0	68	62	22	64	42	41	43	23	63	55	0
1   3   98,103	138	0	75	74	47	36	70	20	37	67	0
1   4   126,301	140	0	8	13	54	59	14	65	53	35	0
1   5   151,101	134	0	61	56	24	18	25	50	44	0
1   6   100,718	140	0	51	9	31	10	58	46	0
1   7   88,674	132	0	38	66	11	19	34	0
1   8   77,438	140	0	52	57	5	29	45	30	4	0
1   9   97,108	140	0	48	21	28	2	1	16	0
1   10   105,168	124	0	6	33	32	26	7	27	0

Tiempo de ejecución:
 53,6391562499994 
