Costo de la solución:
 1672,2622663231 

1   1   217,236	199	0	115	96	67	4	149	135	141	148	87	92	107	137	147	142	145	17	63	0
1   2   223,16	199	0	114	26	128	74	105	71	10	123	122	106	125	33	124	72	91	45	15	90	108	0
1   3   106,189	198	0	36	85	29	129	53	127	16	118	130	50	9	62	38	78	0
1   4   124,385	198	0	1	60	23	97	99	113	112	48	138	81	27	46	0
1   5   195,508	200	0	11	100	83	75	117	56	139	68	110	133	95	14	132	57	6	102	0
1   6   131,413	200	0	134	13	136	66	41	94	40	88	64	93	65	42	0
1   7   135,079	200	0	58	24	86	43	69	7	61	8	140	82	31	22	120	51	119	32	77	0
1   8   123,087	194	0	70	28	116	121	3	59	20	131	101	49	76	0
1   9   134,87	194	0	126	2	80	35	84	79	21	34	30	104	54	0
1   10   131,76	200	0	39	89	73	37	144	146	55	25	47	0
1   11   84,239	176	0	12	109	143	111	19	150	44	52	5	103	0
1   12   65,33	77	0	98	18	0

Tiempo de ejecución:
 261,541125000003 
