Costo de la solución:
 874,335317227127 

1	1	117,928	163	0	50	33	81	9	35	71	65	66	20	51	1	0
1	2	117,549	178	0	52	7	19	11	64	49	36	47	48	82	18	0
1	3	107,076	153	0	54	55	25	39	67	23	56	4	26	0
1	4	117,792	177	0	16	86	38	44	14	43	15	42	87	13	0
1	5	-0,001	0	0	0
1	6	90,255	169	0	12	80	68	24	29	34	78	79	3	77	76	28	0
1	7	92,662	137	0	89	60	83	8	46	45	17	84	5	99	96	94	0
1	8	66,118	177	0	6	59	93	85	61	91	100	98	37	92	97	95	0
1	9	90,12	155	0	31	88	62	10	63	90	32	30	70	69	27	0
1	10	74,831	149	0	58	2	57	41	22	75	74	72	73	21	40	53	0

Tiempo de ejecución:
 1356,62175 
