Costo de la solución:
 1188,93337566122 

1	1	204,68	200	0	95	97	110	52	54	57	61	62	64	66	63	60	58	55	53	104	106	105	0
1	2	36,442	118	0	82	111	86	85	89	92	93	96	99	101	102	0
1	3	221,59	197	0	100	116	98	68	79	80	56	65	59	40	109	118	18	114	90	87	0
1	4	202,501	195	0	115	43	45	51	50	49	46	44	47	48	42	41	37	38	39	94	0
1	5	210,023	200	0	108	17	16	19	25	22	24	27	30	33	34	36	31	28	32	35	29	26	23	20	21	91	0
1	6	134,963	199	0	8	12	13	14	15	11	10	9	7	6	5	4	3	1	2	88	0
1	7	137,004	192	0	103	73	76	77	78	75	72	74	71	70	69	67	107	120	0
1	8	41,727	74	0	112	84	113	83	117	81	119	0

Tiempo de ejecución:
 1067,22071875 
