Costo de la solución:
 869,419129025343 

1	1	117,928	163	0	1	51	20	66	65	71	35	9	81	33	50	0
1	2	117,549	178	0	52	7	19	11	64	49	36	47	48	82	18	0
1	3	108,093	189	0	26	4	55	25	39	67	23	56	75	72	21	0
1	4	111,37	193	0	13	87	42	43	14	44	38	86	16	61	96	0
1	5	-0,001	0	0	0
1	6	99,355	187	0	12	68	80	54	24	29	34	78	79	3	77	76	28	0
1	7	88,597	90	0	5	84	17	45	46	8	83	60	89	0
1	8	90,12	155	0	27	69	70	30	32	90	63	10	62	88	31	0
1	9	61,015	200	0	6	99	93	85	91	100	37	98	59	92	97	95	94	0
1	10	75,389	103	0	58	2	57	15	41	22	74	73	40	53	0

Tiempo de ejecución:
 14833,2124375 
