Costo de la solución:
 873,056636520862 

1	1	117,928	163	0	50	33	81	9	35	71	65	66	20	51	1	0
1	2	117,549	178	0	18	82	48	47	36	49	64	11	19	7	52	0
1	3	115,185	196	0	26	54	4	55	25	39	67	23	56	75	72	0
1	4	118,532	170	0	87	42	15	43	14	44	38	86	16	61	6	0
1	5	90,255	169	0	12	80	68	24	29	34	78	79	3	77	76	28	0
1	6	95,824	165	0	89	60	83	8	46	45	17	84	5	99	59	96	94	0
1	7	59,247	156	0	93	85	91	100	98	37	92	97	95	13	0
1	8	90,12	155	0	31	88	62	10	63	90	32	30	70	69	27	0
1	9	68,412	106	0	58	2	57	41	22	74	73	21	40	53	0
1	10	-0,001	0	0	0

Tiempo de ejecución:
 4412,22071875 
