Costo de la solución:
 1168,42387898909 

1	1	114,953	140	0	34	48	60	71	69	28	62	68	75		0
1	2	175,037	138	0	51	40	3	49	23	63	73	22	64	37		0
1	3	120,785	132	0	17	44	50	55	31	38	72	12		0
1	4	96,865	135	0	70	20	15	52	46	67	26		0
1	5	97,176	135	0	7	59	54	13	27	45	4		0
1	6	89,095	134	0	56	41	42	43	1	33	6		0
1	7	101,195	140	0	66	65	58	39	9	32		0
1	8	131,003	115	0	2	16	24	18	25	8		0
1	9	84,759	128	0	30	74	61	21	47	5	29		0
1	10	115,595	104	0	36	57	19	14	53	35		0
1	11	70,188	63	0	11	10		0

Tiempo de ejecución:
 4,75574999999662 
