Costo de la solución:
 2001,27572804439 

1	1	199,024	200	0	127	4	65	102	70	128	78	177	164	100	23	191	195	193	66	101	152		0
1	2	170,179	200	0	105	96	3	163	9	12	168	17	87	99	45	59	139	54		0
1	3	124,983	200	0	60	175	34	46	134	85	170	95	188	61	157	2		0
1	4	175,615	200	0	53	198	160	116	49	159	117	44	106	72	148	189	161	130	51		0
1	5	114,146	200	0	48	172	47	155	36	138	166	122	174	173	121	140		0
1	6	122,569	200	0	22	141	91	113	42	68	137	90	41	190	115	62	183	192		0
1	7	170,075	198	0	112	89	184	104	182	55	30	120	125	126	151		0
1	8	142,143	197	0	76	40	187	118	92	162	75	39	109	169	50	71	7	8	81		0
1	9	131,488	191	0	26	97	57	110	25	135	145	24	74	107	63	181		0
1	10	132,842	193	0	31	131	80	129	38	149	178	167	179	58		0
1	11	127,287	194	0	119	165	52	108	69	132	35	19	123	83	27	153		0
1	12	130,45	192	0	180	150	11	84	14	133	13	15	111	98		0
1	13	106,223	197	0	64	171	21	82	5	88	37	20	124	154	79	29		0
1	14	94,506	200	0	16	185	43	199	197	1	196	186	93	28		0
1	15	99,045	196	0	32	147	73	146	18	144	194	33	6		0
1	16	136,314	155	0	67	158	136	143	142	114	156	94	103	86		0
1	17	105,341	73	0	56	10	77	176		0

Tiempo de ejecución:
 14,7329687500023 
