Costo de la solución:
 1160,92573604144 

1	1	93,059	128	0	67	60	37	45	4	75		0
1	2	92,445	125	0	64	41	43	1	33	6		0
1	3	92,266	95	0	32	55	25	9	39	72		0
1	4	98,456	73	0	70	71	69	36	47	48		0
1	5	87,106	137	0	52	8	35	59	14	53	7		0
1	6	89,884	95	0	16	63	23	56	49	3	44		0
1	7	99,129	113	0	31	65	11	38	26		0
1	8	95,543	89	0	27	15	20	57	13	54		0
1	9	100,473	127	0	66	10	58	40	68		0
1	10	91,779	114	0	51	73	42	22	28	62	2		0
1	11	88,246	98	0	24	18	50	12	17		0
1	12	84,402	109	0	30	74	61	21	5	29		0
1	13	48,132	61	0	34	19	46		0

Tiempo de ejecución:
 29,1103750000038 
