Costo de la solución:
 1726,15532803506 

1	1	259,871	200	0	95	105	106	79	66	91	113	117	84	112	85	89	92	86	111	87	81	119	82	88		0
1	2	294,323	200	0	102	63	64	62	61	65	59	50	47	49	32	35	28	31	36	34	30	33	27	24	22	118	93		0
1	3	218,129	199	0	99	100	104	74	72	78	80	56	60	58	55	53	54	57	52	110	94	96	90		0
1	4	271,595	198	0	101	97	18	114	108	6	5	3	44	46	48	51	45	76	71	116	103	107		0
1	5	205,257	197	0	109	29	26	23	21	20	19	16	17	8	13	14	15	10	7		0
1	6	258,03	199	0	1	4	9	25	37	41	38	39	42	43	40	98	115	120		0
1	7	218,946	182	0	67	69	70	75	77	73	68	12	11	2	83		0

Tiempo de ejecución:
 119,622499999998 
