Costo de la solución:
 1104,17360371314 

1	1	109,467	138	0	67	29	60	71	69	30	68	6	75		0
1	2	134,564	136	0	74	73	22	64	42	41	23	63	49	51	17		0
1	3	141,479	140	0	3	32	55	72	58	12	7	35	19	8		0
1	4	99,402	131	0	26	46	52	13	15	20	70	37		0
1	5	95,199	129	0	34	27	54	59	14	53		0
1	6	89,45	134	0	16	56	43	1	33	2		0
1	7	99,91	134	0	9	31	10	38	4		0
1	8	101,834	133	0	11	66	65	40	44		0
1	9	96,497	92	0	39	25	50	18	24		0
1	10	91,007	126	0	28	61	21	36	5	45		0
1	11	74,327	53	0	57	47	48		0
1	12	44,721	18	0	62		0

Tiempo de ejecución:
 1,51471874999697 
