Costo de la solución:
 1118,8581260707 

1	1	197,9	200	0	65	90	60	99	59	92	93	98	37	91	100	42	97	95	13	6	53		0
1	2	152,122	195	0	52	18	7	19	64	63	32	62	10	31	70	30	69	28		0
1	3	151,191	200	0	11	49	36	47	46	8	83	45	17	84	5	61	85		0
1	4	115,289	197	0	4	55	39	67	23	56	75	74	72	73	2	58		0
1	5	147,1	197	0	27	89	86	44	38	14	43	15	87	26	12		0
1	6	123,089	192	0	76	77	68	80	29	3	79	78	81	35	71	9	51		0
1	7	117,02	91	0	88	20	66	34	33	50	1		0
1	8	112,519	85	0	24	25	54	21	40	94	96		0
1	9	94,912	49	0	16	57	41	22		0
1	10	56,511	52	0	48	82		0

Tiempo de ejecución:
 3,73371875000157 
