Costo de la solución:
 1500,15049867215 

1	1	176,438	200	0	46	115	78	37	17	145	147	142	109	87	148	141	143	18	56		0
1	2	140,565	200	0	12	102	138	57	114	26	140	31	80	120	1	119	32	38	76	5	103		0
1	3	119,979	199	0	51	22	36	35	128	29	129	100	127	118	50	130	16	126	11		0
1	4	167,219	199	0	90	47	146	4	149	134	67	133	110	68	96	97	99	60	81		0
1	5	133,214	197	0	137	52	107	15	45	123	124	106	117	89	54	10	49	77		0
1	6	135,672	200	0	150	92	42	64	19	94	88	41	111	55	98		0
1	7	151,613	193	0	139	14	58	95	13	135	40	93	65	91	63	108		0
1	8	150,737	200	0	27	6	48	112	23	69	7	61	43	86	24	25	44		0
1	9	142,852	193	0	2	53	83	131	59	85	84	21	79	74	9	62	122		0
1	10	121,949	173	0	8	113	82	28	70	116	121	3	20	101		0
1	11	103,234	184	0	34	104	30	105	75	39	73	125	33	72	71		0
1	12	90,17	97	0	132	136	66	144		0

Tiempo de ejecución:
 19,3711250000051 
