Costo de la solución:
 1448,06585222739 

1	1	255,256	200	0	88	119	81	82	111	86	112	117	83	113	84	85	92	91	66	103	104	107	106	105	120	0
1	2	226,3	198	0	87	90	18	114	118	108	63	79	76	115	97	94	93	96	99	101	102	95	0
1	3	210,542	200	0	110	61	62	64	60	58	55	80	78	77	75	72	74	71	73	0
1	4	249,323	194	0	38	37	41	44	46	49	47	50	51	48	45	43	65	57	56	53	0
1	5	214,963	199	0	20	28	32	35	36	34	31	30	33	27	24	22	13	14	15	11	9	10	4	3	5	6	2	0
1	6	235,915	189	0	116	109	39	42	40	59	54	52	68	67	70	69	98	100	0
1	7	213,546	195	0	89	21	29	26	23	25	19	16	17	12	8	7	1	0

Tiempo de ejecución:
 148,907437500005 
