Costo de la solución:
 876,962035824653 

1	1	115,817	145	0	69	70	30	20	66	65	71	35	9	51	1	0
1	2	121,191	133	0	88	62	11	64	49	36	47	46	8	18	0
1	3	106,062	194	0	21	72	75	56	39	67	23	41	22	74	73	40	0
1	4	100,624	197	0	59	98	91	16	86	38	14	44	100	37	92	13	0
1	5	74,631	146	0	50	33	81	34	78	79	3	77	76	28	0
1	6	100,626	178	0	52	7	82	48	19	63	90	32	10	31	27	0
1	7	77,73	151	0	94	95	97	87	42	43	15	57	2	58	53	0
1	8	97,152	135	0	12	80	68	29	24	55	25	4	54	26	0
1	9	83,124	179	0	89	60	83	45	17	84	5	61	85	93	99	96	6	0
1	10	-0,001	0	0	0

Tiempo de ejecución:
 1926,63312499999 
