Costo de la solución:
 1217,82144008288 

1	1	104,609	118	0	59	35	85	36	115	121	3	101	51	0
1	2	114,86	123	0	7	61	114	99	43	86	97	24	0
1	3	96,136	183	0	71	122	125	106	73	117	89	39	54	10	0
1	4	99,207	173	0	147	64	88	40	136	13	67	134	55	47	0
1	5	77,669	199	0	11	100	2	83	131	20	84	128	29	129	53	126	0
1	6	93,807	135	0	32	22	80	70	116	28	31	82	120	1	0
1	7	-0,001	0	0	0
1	8	78,031	157	0	68	14	58	96	95	25	133	110	18	139	0
1	9	75,38	185	0	148	135	111	66	41	94	19	141	150	87	142	145	0
1	10	77,21	168	0	27	138	48	112	26	113	140	8	60	81	119	77	0
1	11	78,655	149	0	63	17	137	92	42	93	65	107	44	37	108	103	0
1	12	84,735	136	0	9	130	50	34	74	75	105	30	104	49	76	0
1	13	69,956	119	0	46	102	6	57	23	69	98	132	0
1	14	41,389	138	0	56	146	149	4	143	109	144	12	0
1	15	62,075	132	0	38	62	118	79	21	127	16	78	0
1	16	64,095	120	0	52	15	45	91	72	33	124	123	90	5	0

Tiempo de ejecución:
 1016,99553125 
