Costo de la solución:
 869,795987060173 

1	1	129,194	200	0	81	78	76	71	70	73	77	79	80	74	0
1	2	101,882	200	0	59	60	58	56	53	54	55	57	0
1	3	103,578	200	0	10	99	100	97	93	92	94	95	96	98	0
1	4	97,227	200	0	34	36	39	38	37	35	31	33	32	0
1	5	96,32	200	0	13	17	18	19	15	16	14	12	11	0
1	6	76,069	170	0	91	89	88	85	84	82	83	86	87	90	0
1	7	61,558	110	0	47	46	45	48	51	50	52	49	20	0
1	8	57,234	150	0	69	66	68	64	61	72	62	63	65	67	0
1	9	45,47	60	0	41	40	44	42	43	0
1	10	51,85	160	0	5	3	7	8	9	6	4	2	1	75	0
1	11	49,409	160	0	23	26	28	30	29	27	25	24	22	21	0

Tiempo de ejecución:
 158,213437500002 
