Costo de la solución:
 1492,63501035253 

1	1	107,551	165	0	38	165	164	85	134	84	69	180	132	0
1	2	110,56	107	0	3	181	73	135	92	148	163	76	0
1	3	98,747	160	0	98	29	79	15	154	124	20	166	122	174	0
1	4	72,245	197	0	105	160	115	90	41	143	68	42	199	197	158	193	0
1	5	52,716	197	0	194	191	1	136	43	190	184	192	195	33	61	0
1	6	0	0	0	0
1	7	92,87	165	0	26	71	80	131	31	162	75	189	130	40	0
1	8	96,986	177	0	133	14	108	11	170	52	150	100	81	126	0
1	9	73,403	168	0	111	58	27	99	179	19	177	35	7	51	149	60	0
1	10	55,752	191	0	175	46	178	78	8	102	176	65	34	4	87	0
1	11	72,2	185	0	117	182	49	74	144	116	183	104	67	159	16	188	0
1	12	82,046	180	0	63	107	24	145	146	18	147	106	44	55	151	0
1	13	79,204	118	0	66	196	22	141	91	142	114	156	93	186	86	0
1	14	76,627	185	0	187	97	161	9	110	25	56	118	72	32	95	0
1	15	78,107	179	0	168	50	169	129	119	77	10	57	39	109	12	17	0
1	16	75,096	197	0	48	59	103	5	88	37	138	36	155	47	171	120	0
1	17	34,323	123	0	54	125	30	2	157	6	0
1	18	65,318	170	0	101	28	64	94	140	121	82	173	21	172	139	152	0
1	19	71,011	149	0	45	153	83	13	123	128	70	167	127	0
1	20	97,864	173	0	96	198	53	23	62	185	89	137	113	112	0

Tiempo de ejecución:
 8444,0366875 
