Costo de la solución:
 1502,31879721698 

1	1	111,619	117	0	35	177	14	134	85	164	165	77	0
1	2	108,704	179	0	40	161	110	163	31	131	80	10	129	0
1	3	99,31	193	0	32	118	148	92	135	146	18	73	147	181	0
1	4	99,111	164	0	171	173	174	122	166	20	124	154	15	45	0
1	5	101,764	126	0	91	113	137	89	185	62	116	183	159	0
1	6	99,608	175	0	19	133	84	170	11	52	38	119	100	26	0
1	7	74,926	181	0	149	51	7	132	180	69	108	150	71	169	50	81	0
1	8	79,577	200	0	30	47	155	36	138	37	88	79	153	87	4	0
1	9	76,477	149	0	16	182	49	74	144	145	24	107	63	117	0
1	10	74,879	189	0	126	168	12	39	109	57	189	162	75	9	130	17	0
1	11	78,574	149	0	86	101	28	93	156	114	142	141	22	186	112	0
1	12	72,897	152	0	76	187	97	25	56	72	106	44	55	3	151	95	0
1	13	-0,001	0	0	0
1	14	57,014	189	0	2	157	120	48	59	103	5	29	98	125	54	0
1	15	70,949	175	0	136	199	42	68	143	41	90	115	192	53	198	195	0
1	16	71,246	173	0	58	27	83	13	123	128	70	167	99	179	111	127	0
1	17	64,07	199	0	188	67	104	23	160	184	190	43	197	158	0
1	18	62,949	126	0	64	94	140	121	82	21	172	139	152	0
1	19	55,13	165	0	34	65	176	8	102	78	178	46	175	60	0
1	20	43,503	185	0	6	96	105	33	193	194	1	191	196	66	61	0

Tiempo de ejecución:
 10440,51 
