Costo de la solución:
 880,867422641175 

1	1	117,928	163	0	1	51	20	66	65	71	35	9	81	33	50	0
1	2	115,961	142	0	88	62	11	64	49	36	47	19	7	52	0
1	3	114,337	196	0	26	54	4	55	25	39	67	23	56	72	58	0
1	4	116,091	198	0	2	15	43	14	44	38	86	16	61	59	94	0
1	5	90,255	169	0	12	80	68	24	29	34	78	79	3	77	76	28	0
1	6	104,977	154	0	89	60	83	5	84	17	45	8	46	48	82	18	0
1	7	58,073	156	0	6	96	99	93	85	91	100	37	98	92	97	95	0
1	8	80,533	127	0	31	10	63	90	32	30	70	69	27	0
1	9	82,709	153	0	13	87	42	57	41	22	75	74	73	21	40	53	0
1	10	-0,001	0	0	0

Tiempo de ejecución:
 1742,89221875 
