Costo de la solución:
 1595,1100623275 

1	1	204,955	135	0	59	65	61	62	64	66	63	60	58	53	0
1	2	186,31	118	0	37	44	46	49	50	51	45	43	40	110	0
1	3	193,748	101	0	29	36	34	33	30	25	19	23	20	17	0
1	4	193,875	117	0	98	52	54	57	55	56	80	79	78	77	0
1	5	48,741	113	0	102	101	105	106	107	104	103	100	99	94	93	96	95	0
1	6	176,498	83	0	21	26	32	35	28	31	27	24	22	16	0
1	7	175,146	134	0	97	115	39	42	48	47	41	38	109	114	0
1	8	111,982	137	0	18	118	108	7	9	10	4	3	1	2	81	119	0
1	9	55,304	139	0	111	112	117	83	113	84	90	91	89	92	87	120	0
1	10	129,799	150	0	116	68	76	73	74	72	75	71	70	69	67	0
1	11	118,748	148	0	88	86	85	8	12	13	14	15	11	5	6	82	0
1	12	-0,001	0	0	0
1	13	-0,001	0	0	0

Tiempo de ejecución:
 1462,892625 
