Costo de la solución:
 1381,16846782634 

1	1	10,064	48	0	6	61	0	0
1	2	85,908	200	0	7	132	180	69	108	52	119	77	10	129	71	100	0	0
1	3	111,794	196	0	15	154	124	20	37	88	138	166	122	36	155	174	172	0	0
1	4	124,391	200	0	38	165	11	170	164	85	134	84	14	133	177	0	0
1	5	157,626	200	0	49	145	73	18	146	135	92	148	163	31	162	75	189	131	80	150	0	0
1	6	62,57	194	0	54	30	125	98	111	34	51	149	60	127	0	0
1	7	81,229	200	0	64	94	140	121	82	21	173	171	47	5	103	59	139	0	0
1	8	61,521	198	0	66	196	191	1	136	199	43	190	184	197	192	158	53	198	0	0
1	9	69,327	193	0	81	168	50	169	57	39	109	9	32	106	44	55	151	95	0	0
1	10	52,346	190	0	87	4	26	12	130	40	76	17	126	0	0
1	11	79,297	186	0	187	97	161	110	25	56	118	72	147	181	3	0	0
1	12	104,358	193	0	105	160	115	41	90	185	89	137	143	68	113	42	0	0
1	13	88,914	199	0	117	182	63	107	24	74	144	116	62	23	183	104	195	0	0
1	14	67,534	200	0	120	48	29	45	58	27	179	99	167	65	46	175	0	0
1	15	85,282	200	0	152	86	101	28	93	156	114	142	91	141	22	186	194	193	0	0
1	16	87,409	192	0	153	79	83	13	123	128	70	19	78	178	35	8	102	176	0	0
1	17	51,59	197	0	157	2	112	33	96	67	159	16	188	0	0
