Costo de la solución:
 823,061442879176 

1	1	95,943	190	0	99	100	97	93	92	94	95	96	98	0	0
1	2	57,257	170	0	10	8	9	6	7	5	3	4	2	1	75	0	0
1	3	96,32	200	0	11	12	14	16	15	19	18	17	13	0	0
1	4	51,211	170	0	20	21	22	24	25	27	29	30	28	26	23	0	0
1	5	97,227	200	0	32	33	31	35	37	38	39	36	34	0	0
1	6	65,477	160	0	43	41	40	42	44	46	45	48	51	50	52	49	47	0	0
1	7	101,882	200	0	57	55	54	53	56	58	60	59	0	0
1	8	136,823	190	0	68	64	61	72	80	79	77	73	70	71	76	78	81	0	0
1	9	44,848	160	0	67	65	63	74	62	66	69	0	0
1	10	76,069	170	0	90	87	86	83	82	84	85	88	89	91	0	0
