Costo de la solución:
 1134,19195510637 

1	1	89,834	193	0	6	132	98	96	95	25	133	110	18	55	0	0
1	2	105,627	199	0	10	54	30	104	34	74	79	21	129	83	131	101	51	32	0	0
1	3	31,463	80	0	12	77	11	78	0	0
1	4	121,273	196	0	14	58	24	97	86	43	99	114	61	7	69	23	57	46	0	0
1	5	89,857	196	0	17	147	142	87	148	143	135	111	141	150	42	92	107	44	137	0	0
1	6	137,032	197	0	20	59	3	70	28	116	121	115	36	85	35	84	128	29	0	0
1	7	92,982	200	0	27	138	48	112	60	8	26	113	140	82	31	80	22	120	1	119	0	0
1	8	66,593	195	0	38	62	9	130	50	118	53	127	16	126	2	100	0	0
1	9	74,362	191	0	63	37	52	15	123	122	71	49	76	90	108	5	103	0	0
1	10	129,591	198	0	65	93	64	19	94	88	40	136	41	66	13	67	134	0	0
1	11	75,82	195	0	81	102	68	139	47	56	146	149	4	109	145	144	0	0
1	12	119,752	195	0	105	75	39	89	117	73	106	125	124	33	72	91	45	0	0
