Costo de la solución:
 1006,63262775101 

1	1	136,061	200	0	90	87	86	84	83	82	71	70	80	74	0
1	2	124,372	140	0	81	78	76	73	77	79	72	61	62	66	0
1	3	73,224	160	0	67	65	63	7	6	9	8	11	10	0
1	4	88,252	150	0	69	64	68	57	59	44	45	48	46	49	0
1	5	110,091	190	0	52	50	51	60	58	56	53	54	55	40	0
1	6	96,698	200	0	96	95	94	92	93	97	100	99	1	75	0
1	7	97,227	200	0	34	36	39	38	37	35	31	33	32	0
1	8	88,536	160	0	89	85	88	91	98	2	4	3	5	0
1	9	98,693	200	0	13	15	12	14	16	19	18	17	23	0
1	10	44,428	50	0	47	42	41	43	0
1	11	49,046	160	0	20	24	25	27	29	30	28	26	22	21	0

Tiempo de ejecución:
 8,22393749999901 
