Costo de la solución:
 1302,22300634183 

1	1	83,971	187	0	32	51	101	3	121	59	20	131	83	2	100	0
1	2	74,567	148	0	16	118	130	50	21	79	74	34	49	76	0
1	3	113,625	146	0	98	24	97	69	7	114	61	23	0
1	4	100,782	89	0	99	43	86	96	58	14	68	0
1	5	96,132	193	0	122	125	106	73	117	89	39	54	10	5	0
1	6	78,741	129	0	37	44	107	65	93	42	92	137	147	17	63	0
1	7	101,978	192	0	64	88	40	19	94	41	136	66	135	0
1	8	60,342	94	0	27	138	48	112	120	1	119	77	0
1	9	63,489	107	0	11	128	29	129	53	127	126	78	0
1	10	86,353	155	0	80	28	31	82	140	113	26	8	60	81	0
1	11	53,27	142	0	145	142	87	150	141	148	109	144	12	0
1	12	70,017	90	0	75	105	30	104	9	62	38	0
1	13	71,868	164	0	46	102	6	57	132	95	25	133	110	18	139	0
1	14	64,604	142	0	108	52	15	45	91	72	33	124	123	71	90	103	0
1	15	69,402	150	0	47	55	134	67	13	111	143	4	149	146	56	0
1	16	113,074	107	0	22	70	116	115	36	85	35	84	0

Tiempo de ejecución:
 274,566062500002 
