Costo de la solución:
 1553,23829625048 

1	1	89,773	136	0	168	50	169	80	131	31	162	75	189	57	126	0
1	2	117,192	117	0	188	16	24	145	135	92	148	163	0
1	3	114,066	124	0	165	164	85	134	84	14	133	177	0
1	4	70,9	174	0	152	64	94	140	156	93	186	66	193	33	61	0
1	5	93,385	195	0	120	171	36	122	166	138	88	59	30	54	0
1	6	82,897	161	0	115	90	41	143	68	42	113	91	141	22	196	0
1	7	107,736	153	0	114	142	137	89	185	62	23	104	96	0
1	8	84,307	200	0	81	100	150	52	170	11	108	69	180	132	60	0
1	9	69,925	193	0	125	98	48	47	155	174	82	121	173	21	172	139	0
1	10	79,242	160	0	182	49	63	107	73	146	18	147	181	117	0
1	11	40,604	112	0	112	86	28	101	157	2	0
1	12	73,936	136	0	12	129	10	77	38	119	71	26	0
1	13	80,318	163	0	29	103	5	37	20	124	154	15	79	153	45	0
1	14	74,992	185	0	76	40	187	97	161	110	25	56	118	72	106	151	0
1	15	85,276	174	0	159	67	183	74	144	116	160	190	43	199	158	0
1	16	53,93	151	0	149	51	7	35	102	8	176	46	175	0
1	17	77,223	130	0	178	78	19	70	128	123	13	83	27	58	0
1	18	62,491	184	0	95	3	55	44	32	9	109	39	130	17	0
1	19	49,192	172	0	194	1	191	136	197	184	192	198	53	195	105	6	0
1	20	45,844	166	0	4	87	111	179	99	167	65	34	127	0

Tiempo de ejecución:
 696,701999999998 
