Costo de la solución:
 3008,66130962815 

1	1	256,705	200	0	129	29	105	79	74	14	8	112	70	85	76	36	82	31	115		0
1	2	334,614	200	0	141	96	91	42	44	37	63	135	145	133	67	50	111	55	114		0
1	3	339,73	200	0	86	107	17	49	62	120	19	103	16	51	43	24	128	21	84	7	99		0
1	4	258,513	200	0	149	56	137	53	2	123	65	124	10	46	32	119	72	33	117		0
1	5	266,227	200	0	4	121	140	138	47	139	78	94	30	54	40	66	15	88		0
1	6	291,68	200	0	110	150	26	142	87	148	101	20	28	3	126	130	68	12	116		0
1	7	269,306	198	0	34	39	146	92	25	58	108	83	77	81	60	35		0
1	8	250,015	199	0	134	48	57	132	13	41	143	89	106	93	90	73		0
1	9	180,62	197	0	100	6	27	98	52	147	109	95	64	136		0
1	10	268,735	196	0	75	125	104	59	69	127	61	38	80	22	102	9	5	113		0
1	11	192,504	198	0	1	23	122	144	11	118	18	97		0
1	12	100,006	47	0	45	71	131		0

Tiempo de ejecución:
 1,8272500000021 
