Costo de la solución:
 2118,68937541944 

1	1	255,006	200	0	46	7	60	95	93	53	12	76	51	89	1	79	66	65		0
1	2	335,356	200	0	83	18	36	49	37	98	99	72	19	2	15	44	32	35	64		0
1	3	248,042	200	0	91	17	57	22	75	56	33	24	68	29	25	50	81	4	67		0
1	4	301,963	200	0	92	55	78	16	69	26	13	43	6	48	85	88	45	38		0
1	5	326,539	198	0	42	97	61	96	40	9	84	74	87	94	52	3	47	71		0
1	6	245,67	199	0	21	41	39	82	8	86	80	31	70	73	27	23		0
1	7	292,934	190	0	90	59	77	28	54	5	30	20	11	63	62	34		0
1	8	113,175	71	0	58	10	100	14		0

Tiempo de ejecución:
 0,889875000000757 
