Costo de la solución:
 4080,33796024835 

1	1	148,803	66	0	150	139	29	37	164		0
1	2	143,88	61	0	152	95	168	193	163		0
1	3	127,785	101	0	9	80	84	133	134	12	85		0
1	4	125,361	90	0	72	196	66	191	92	39	148		0
1	5	145,83	81	0	173	160	199	143	166		0
1	6	146,381	48	0	89	172	179	99	137		0
1	7	144,216	114	0	24	61	46	2	135		0
1	8	109,396	154	0	57	189	96	44	55	162	161	97	31		0
1	9	136,517	112	0	106	32	7	71	14	165		0
1	10	127,939	102	0	198	1	195	10	77	119	170		0
1	11	119,096	108	0	102	178	78	138	123	154	15	20		0
1	12	134,634	88	0	53	169	6	188	177	11		0
1	13	105,65	167	0	127	5	36	155	17	30	82	174	122		0
1	14	127,99	92	0	107	157	194	197	65	34	145		0
1	15	104,26	191	0	184	115	183	112	186	116	90	3	185		0
1	16	136,686	115	0	51	149	181	8	18	146		0
1	17	151,267	69	0	192	108	38	142		0
1	18	129,297	107	0	56	118	144	74	105	73	25		0
1	19	153,647	62	0	128	76	87	131		0
1	20	147,396	66	0	110	62	129	159	75		0
1	21	135,862	125	0	67	111	153	79	13	52		0
1	22	122,834	105	0	4	59	48	45	58	22	124		0
1	23	120,38	114	0	42	136	156	117	21	158	113		0
1	24	128,412	146	0	60	180	132	27	83	47	69		0
1	25	132,878	103	0	23	104	63	28	101	88		0
1	26	119,849	116	0	190	26	81	33	121	93	41	68		0
1	27	120,57	61	0	86	175	70	140	141	91	114		0
1	28	135,984	102	0	103	40	126	35	187	19		0
1	29	117,785	130	0	54	125	98	176	100	151	49	147		0
1	30	136,126	119	0	120	64	16	167	130	109		0
1	31	143,612	71	0	50	43	182	171	94		0
1	32	0	0	0		0
1	33	0	0	0		0

Tiempo de ejecución:
 3,23249999999825 
