Costo de la solución:
 3677,74168074083 

1	1	626,244	199	0	68	120	23	16	39	119	1	60	22	4	109	24	11	15	66		0
1	2	594,306	200	0	107	62	96	54	104	82	61	113	112	28	29	69	45	9	33	53	3	34	74	79	6	63		0
1	3	527,312	199	0	98	38	36	111	89	97	86	65	94	46	51	7	20	30	55	27	64		0
1	4	631,112	200	0	32	21	35	67	47	52	49	70	108	14	115	77	58	101	73	117	44	106	88	50		0
1	5	403,644	200	0	118	37	81	85	114	48	100	40	75	71	43	5	41	99	56		0
1	6	579,063	197	0	2	57	8	42	12	105	78	116	17	72	76	102	87	31	80	59		0
1	7	316,057	180	0	103	91	18	13	110	83	10	92	95	26	84	90	93	19	25		0

Tiempo de ejecución:
 13,0784375000003 
