Costo de la solución:
 1691,65325403448 

1   1   248,103	200	0	105	102	66	92	89	84	113	83	117	112	85	87	86	111	82	81	119	88	0
1   2   220,301	199	0	95	101	99	96	93	63	79	77	78	72	75	74	71	73	76	104	107	106	0
1   3   291,02	198	0	97	57	54	53	55	58	56	60	64	62	61	65	50	47	49	32	35	36	34	31	27	28	0
1   4   261,762	197	0	51	21	26	20	23	25	30	33	24	22	9	11	10	4	3	5	7	118	0
1   5   228,223	197	0	100	68	59	40	43	45	48	46	44	41	42	39	38	37	91	0
1   6   214,599	198	0	18	114	29	19	16	17	12	8	13	14	15	1	2	6	0
1   7   227,643	186	0	120	103	116	110	98	67	69	70	80	52	115	109	108	90	94	0

Tiempo de ejecución:
 191,738250000002 
