Costo de la solución:
 1993,9147666123 

1   1   128,554	161	0	164	126	33	193	112	61	6	0
1   2   121,592	119	0	163	2	157	139	30	54	152	0
1   3   97,66	159	0	85	78	8	102	176	65	46	175	34	4	0
1   4   103,781	137	0	130	148	92	135	73	181	55	3	117	0
1   5   106,37	139	0	103	166	122	155	174	121	173	172	101	0
1   6   92,366	134	0	53	198	192	190	115	41	90	89	137	68	0
1   7   104,911	157	0	71	119	38	77	10	80	31	162	131	50	0
1   8   99,244	137	0	180	84	134	14	133	177	19	128	70	179	0
1   9   95,883	191	0	165	170	11	108	132	35	7	51	149	60	0
1   10   84,113	188	0	48	5	88	37	138	20	124	154	79	153	45	0
1   11   88,47	187	0	188	159	67	104	23	74	144	24	145	49	16	0
1   12   102,607	128	0	185	143	42	113	142	91	141	93	66	0
1   13   87,128	200	0	95	44	107	147	146	18	72	187	40	76	17	0
1   14   88,689	179	0	100	97	161	9	110	25	56	118	32	106	151	0
1   15   82,77	143	0	26	169	129	57	189	75	39	109	12	168	81	0
1   16   96,538	167	0	150	52	69	178	99	27	58	111	98	87	0
1   17   93,368	116	0	86	191	160	62	116	183	182	63	96	105	0
1   18   87,175	179	0	120	171	47	36	82	21	140	94	156	64	28	0
1   19   89,924	199	0	186	114	199	136	197	184	158	1	196	194	195	0
1   20   82,489	136	0	125	59	29	15	83	123	13	167	127	0
1   21   60,271	30	0	43	22	0
1   22   0	0	0	0

Tiempo de ejecución:
 445,187968749997 
