Costo de la solución:
 1302,18005474924 

1   1   280,346	200	0	65	78	55	6	99	93	60	84	46	17	61	16	44	91	42	100	37	98	92	97	13	0
1   2   222,675	200	0	69	64	63	90	70	24	25	56	75	72	21	73	74	22	41	57	2	58	40	26	0
1   3   155,812	198	0	89	83	45	8	36	49	11	62	88	7	82	52	1	28	27	0
1   4   154,091	198	0	50	30	51	81	33	79	29	39	67	23	0
1   5   149,858	195	0	94	86	38	14	43	15	80	68	3	77	76	0
1   6   153,715	190	0	31	10	32	20	66	71	35	9	34	54	4	0
1   7   107,206	191	0	53	95	59	96	5	18	19	47	48	0
1   8   78,473	86	0	85	87	12	0

Tiempo de ejecución:
 116,748156250003 
