Costo de la solución:
 1424,68345864245 

1	1	160,354	160	0	90	47	49	32	33	29	13	27	20	0
1	2	178,014	190	0	71	73	63	5	26	28	30	25	21	0
1	3	144,909	130	0	76	86	88	89	3	4	6	11	7	0
1	4	153,406	170	0	23	22	24	65	74	62	64	77	81	0
1	5	203,065	140	0	2	80	72	61	57	55	69	51	43	0
1	6	93,416	130	0	59	41	40	42	44	46	45	48	50	52	0
1	7	163,961	190	0	78	53	56	58	60	54	68	66	67	0
1	8	116,485	200	0	8	9	1	96	97	93	92	94	95	87	0
1	9	151,188	150	0	34	18	36	39	38	37	35	31	0
1	10	166,319	170	0	70	82	83	84	85	91	98	75	10	0
1	11	199,574	180	0	79	99	100	12	14	16	15	19	17	0

Tiempo de ejecución:
 1,84037499999977 
