Costo de la solución:
 2098,87707925343 

1	1	127,348	149	0	164	6	61	112	157	2	152		0
1	2	126,367	124	0	163	4	87	98	30	139	54		0
1	3	89,768	190	0	26	108	85	134	69	180	132	7	51	149	60		0
1	4	116,038	136	0	148	198	53	158	66	193	105	33		0
1	5	112,755	126	0	125	166	111	65	175	127	126	95		0
1	6	89,319	181	0	42	68	137	89	90	41	190	43	184	195	96		0
1	7	99,004	169	0	44	147	73	18	146	135	92	25	56	118		0
1	8	97,62	189	0	129	38	31	162	75	57	39	109	130	17		0
1	9	96,067	158	0	81	165	52	150	35	178	102	8	176	34		0
1	10	106,552	135	0	170	14	177	19	70	128	13	167	179		0
1	11	104,541	135	0	168	50	100	11	84	133	78	46	58		0
1	12	90,307	172	0	88	20	138	36	155	174	82	121	173	172	120		0
1	13	90,564	181	0	5	103	47	122	21	94	64	28	101	86		0
1	14	89,709	133	0	159	104	23	183	144	145	24	107	63	49	117		0
1	15	98,922	166	0	196	160	115	62	185	143	91	141	22	93		0
1	16	96,944	173	0	188	16	67	197	113	142	114	156	186	194		0
1	17	90,557	144	0	12	169	9	189	131	80	10	77	119	71		0
1	18	84,787	179	0	40	187	97	161	110	72	32	106	181	55	151		0
1	19	92,727	134	0	27	83	123	124	37	154	15	79	153	45		0
1	20	95,911	126	0	191	1	192	199	116	74	182	3	76		0
1	21	103,06	86	0	136	140	171	48	59	29	99		0
1	22	0	0	0		0

Tiempo de ejecución:
 251,843500000003 
