Costo de la solución:
 2110,9500887123 

1	1	155,655	198	0	164	80	109	187	76	151	96	105	193	194	191	196	66	2		0
1	2	181,208	198	0	87	153	177	11	129	169	163	40	188	112	6		0
1	3	152,312	198	0	95	126	17	7	85	123	99	179	29	58	4	127	157	61		0
1	4	140,854	200	0	81	168	55	44	106	97	161	148	18	49	182	159	16	198	53	197		0
1	5	120,637	196	0	125	59	166	47	171	172	173	21	140	94	28	93		0
1	6	119,641	200	0	139	86	186	137	90	62	116	23	183	104	192	33		0
1	7	139,271	194	0	30	64	101	141	158	136	199	42	113	68	143	89	115	190	117		0
1	8	171,395	200	0	26	189	162	110	25	56	72	92	73	145	107	24	144	160	156	152		0
1	9	155,709	194	0	3	181	146	135	75	39	57	119	108	100	149	176	46		0
1	10	122,862	198	0	50	31	131	71	150	51	180	78	102	8	65	60		0
1	11	124,757	198	0	130	35	134	14	133	19	128	70	167	34	45		0
1	12	119,023	198	0	111	175	132	69	84	170	165	77	38	52	12		0
1	13	105,065	200	0	154	88	37	20	138	122	36	155	174	82	121	120		0
1	14	110,169	200	0	67	63	74	185	41	43	91	1	195		0
1	15	100,596	127	0	184	22	142	114	48	98	54		0
1	16	85,549	128	0	27	13	83	124	15	79	103	5		0
1	17	76,182	110	0	32	147	118	9		0
1	18	81,713	49	0	10	178		0

Tiempo de ejecución:
 93,3239999999932 
