Costo de la solución:
 866,869471117224 

1	1	117,928	163	0	1	51	20	66	65	71	35	9	81	33	50	0
1	2	117,549	178	0	18	82	48	47	36	49	64	11	19	7	52	0
1	3	107,076	153	0	54	55	25	39	67	23	56	4	26	0
1	4	118,605	190	0	13	87	42	15	43	14	44	38	86	16	61	0
1	5	90,255	169	0	12	80	68	24	29	34	78	79	3	77	76	28	0
1	6	92,043	113	0	89	60	83	8	46	45	17	84	5	99	96	6	0
1	7	90,12	155	0	31	88	62	10	63	90	32	30	70	69	27	0
1	8	74,831	149	0	58	2	57	41	22	75	74	72	73	21	40	53	0
1	9	58,458	188	0	95	97	92	98	37	100	91	85	93	59	94	0
1	10	-0,001	0	0	0

Tiempo de ejecución:
 766,373062500003 
