Iteraciones:   1890 

Costo         Vehículos     Tiempo [seg]
 1877,997      13            4,819 
 1852,607      13            8,07 
 1777,212      13            11,174 
 1777,212      13            14,143 
 1777,212      13            16,928 
 1777,212      13            19,754 
 1754,297      13            22,433 
 1754,297      13            25,338 
 1741,114      13            28,006 
 1689,421      13            30,813 
 1689,421      13            33,719 
 1689,421      13            36,743 
 1689,421      13            39,306 
 1689,421      13            42,334 
 1689,421      13            45,288 
 1689,421      13            48,097 
 1689,421      13            50,852 
 1689,421      13            53,605 
 1689,421      13            56,409 
 1689,421      13            59,368 
 1689,421      13            62,189 
 1689,421      13            65,043 
 1689,421      13            67,789 
 1676,103      13            70,754 
 1676,103      13            73,539 
 1676,103      13            76,381 
 1676,103      13            79,361 
 1676,103      13            82,171 
 1676,103      13            85,101 
 1676,103      13            88,228 
 1676,103      13            90,999 
 1676,103      13            93,735 
 1676,103      13            96,285 
 1671,888      13            98,537 
 1671,888      13            101,679 
 1671,888      13            104,583 
 1671,888      13            106,614 
 1671,888      13            108,901 
 1671,888      13            111 
 1671,888      13            113,698 
 1671,888      13            116,679 
 1671,888      13            119,417 
 1671,888      13            122,12 
 1671,888      13            124,831 
 1671,888      13            127,571 
 1671,888      13            130,185 
 1671,888      13            132,977 
 1671,888      13            135,553 
 1671,888      13            138,209 
 1671,888      13            141,178 
 1671,888      13            143,541 
 1671,888      13            145,814 
 1671,888      13            148,526 
 1671,888      13            150,713 
 1671,888      13            152,927 
 1671,888      13            155,005 
 1671,888      13            157,055 
 1671,888      13            159,705 
 1671,888      13            162,165 
 1671,888      13            164,277 
 1671,888      13            166,294 
 1671,888      13            168,405 
 1671,888      13            171,444 
 1671,888      13            173,684 
 1671,888      13            175,958 
 1671,888      13            178,17 
 1671,888      13            180,617 
 1671,888      13            182,859 
 1671,888      13            185,024 
 1665,796      13            187,105 
 1665,796      13            189,209 
 1665,796      13            191,41 
 1663,472      13            194,046 
 1663,472      13            196,927 
 1663,472      13            199,168 
 1663,472      13            201,36 
 1663,472      13            203,558 
 1663,472      13            205,729 
 1663,472      13            208,512 
 1663,472      13            211,017 
 1663,472      13            214,471 
 1663,472      13            217,323 
 1663,472      13            220 
 1663,472      13            222,318 
 1663,472      13            224,748 
 1663,472      13            227,437 
 1663,472      13            229,567 
 1663,472      13            231,649 
 1663,472      13            233,71 
 1663,472      13            236,575 
 1663,472      13            239,469 
 1663,472      13            242,275 
 1663,472      13            245,043 
 1663,472      13            247,192 
 1663,472      13            249,982 
 1647,113      13            252,162 
 1647,113      13            254,872 
 1647,113      13            257,288 
 1647,113      13            259,247 
 1647,113      13            261,314 
 1647,113      13            264,015 
 1647,113      13            266,147 
 1647,113      13            268,208 
 1647,113      13            270,3 
 1647,113      13            272,689 
 1647,113      13            275,369 
 1647,113      13            278,078 
 1647,113      13            280,357 
 1647,113      13            282,41 
 1647,113      13            284,602 
 1647,113      13            286,956 
 1647,113      13            289,019 
 1647,113      13            291,187 
 1647,113      13            293,367 
 1647,113      13            295,463 
 1647,113      13            297,612 
 1647,113      13            299,682 
 1647,113      13            302,193 
 1647,113      13            304,806 
 1647,113      13            307,532 
 1647,113      13            310,457 
 1647,113      13            312,58 
 1647,113      13            314,733 
 1646,826      13            317,229 
 1646,826      13            319,427 
 1646,826      13            321,982 
 1646,826      13            324,787 
 1646,826      13            326,781 
 1646,826      13            329,32 
 1604,851      13            331,377 
 1604,851      13            333,41 
 1595,844      13            335,577 
 1595,844      13            337,629 
 1595,844      13            340,138 
 1595,844      13            342,88 
 1595,844      13            345,15 
 1595,844      13            347,957 
 1590,939      13            350,727 
 1590,939      13            353,398 
 1590,939      13            356,04 
 1590,939      13            358,766 
 1590,939      13            361,505 
 1590,939      13            364,357 
 1590,939      13            368,545 
 1590,939      13            371,752 
 1590,939      13            373,832 
 1590,939      13            375,993 
 1590,939      13            378,562 
 1590,939      13            380,636 
 1590,939      13            382,782 
 1590,939      13            384,919 
 1590,939      13            387,066 
 1590,939      13            389,199 
 1590,939      13            391,372 
 1590,939      13            393,702 
 1590,939      13            395,879 
 1590,939      13            397,976 
 1590,939      13            400,898 
 1590,939      13            403,767 
 1590,939      13            406,728 
 1590,939      13            409,496 
 1590,939      13            412,38 
 1590,939      13            415,401 
 1590,939      13            418,21 
 1590,939      13            420,941 
 1590,939      13            423,77 
 1590,939      13            426,796 
 1590,939      13            429,647 
 1590,939      13            432,891 
 1590,939      13            435,956 
 1590,939      13            438,815 
 1590,939      13            441,594 
 1590,939      13            444,521 
 1590,939      13            447,281 
 1590,939      13            450,266 
 1590,939      13            453,113 
 1590,939      13            456,225 
 1590,939      13            459,267 
 1590,939      13            462,308 
 1590,939      13            465,311 
 1590,939      13            468,208 
 1590,939      13            471,263 
 1590,939      13            474,229 
 1590,939      13            477,162 
 1590,939      13            480,072 
 1590,939      13            483,38 
 1590,939      13            486,364 
 1590,939      13            489,301 
 1590,939      13            492,567 
 1590,939      13            495,441 
 1590,939      13            498,467 
 1590,939      13            501,349 
 1590,939      13            504,242 
 1590,939      13            507,173 
 1590,939      13            510,077 
 1590,939      13            513,138 
 1590,939      13            516,125 
 1590,939      13            518,97 
 1590,939      13            521,914 
 1590,939      13            524,922 
 1590,939      13            527,76 
 1590,939      13            530,6 
 1590,939      13            533,447 
 1590,939      13            536,331 
 1590,939      13            539,192 
 1590,939      13            542,147 
 1590,939      13            544,871 
 1590,939      13            547,738 
 1590,939      13            550,57 
 1590,939      13            553,479 
 1590,939      13            556,34 
 1590,939      13            559,184 
 1590,939      13            562,143 
 1590,939      13            564,924 
 1590,939      13            567,636 
 1590,939      13            570,643 
 1590,939      13            573,592 
 1590,939      13            576,327 
 1590,939      13            579,377 
 1590,939      13            582,225 
 1590,939      13            585,308 
 1590,939      13            588,369 
 1590,939      13            591,355 
 1590,939      13            594,06 
 1590,939      13            596,942 
 1590,939      13            599,876 
 1590,939      13            602,701 
 1590,939      13            605,698 
 1590,939      13            608,389 
 1590,939      13            611,359 
 1590,939      13            614,263 
 1590,939      13            616,926 
 1590,939      13            619,723 
 1590,939      13            622,647 
 1590,939      13            625,433 
 1590,939      13            628,152 
 1590,939      13            630,902 
 1590,939      13            633,747 
 1590,939      13            636,637 
 1590,939      13            639,482 
 1590,939      13            642,185 
 1590,939      13            645,288 
 1590,939      13            648,191 
 1590,939      13            650,983 
 1590,939      13            653,895 
 1590,939      13            656,867 
 1590,939      13            659,701 
 1590,939      13            662,515 
 1590,939      13            665,473 
 1590,939      13            668,35 
 1590,939      13            671,301 
 1590,939      13            674,217 
 1590,939      13            676,869 
 1590,939      13            679,774 
 1590,939      13            682,799 
 1590,939      13            685,741 
 1590,939      13            688,974 
 1590,939      13            691,881 
 1590,939      13            694,767 
 1590,939      13            697,48 
 1590,939      13            700,45 
 1590,939      13            703,411 
 1590,939      13            706,199 
 1590,939      13            708,931 
 1590,939      13            711,818 
 1590,939      13            714,673 
 1590,939      13            717,567 
 1590,939      13            720,364 
 1590,939      13            723,129 
 1590,939      13            725,866 
 1590,939      13            728,689 
 1590,939      13            731,577 
 1590,939      13            734,406 
 1590,939      13            737,076 
 1590,939      13            739,709 
 1590,939      13            742,346 
 1590,939      13            745,321 
 1590,939      13            747,987 
 1590,939      13            750,627 
 1590,939      13            753,271 
 1590,939      13            756,005 
 1590,939      13            758,798 
 1590,939      13            761,536 
 1590,939      13            764,056 
 1590,939      13            766,697 
 1590,939      13            769,429 
 1590,939      13            772,086 
 1590,939      13            774,816 
 1590,939      13            777,606 
 1590,939      13            780,255 
 1590,939      13            782,875 
 1590,939      13            785,643 
 1590,939      13            788,502 
 1590,939      13            791,15 
 1590,939      13            793,93 
 1590,939      13            796,665 
 1590,939      13            799,316 
 1590,939      13            801,834 
 1590,939      13            804,555 
 1590,939      13            807,302 
 1590,939      13            810,215 
 1590,939      13            812,935 
 1590,939      13            815,759 
 1590,939      13            818,373 
 1590,939      13            820,856 
 1590,939      13            823,509 
 1590,939      13            826,257 
 1590,939      13            828,805 
 1590,939      13            831,528 
 1590,939      13            834,068 
 1590,939      13            836,781 
 1590,939      13            839,542 
 1590,939      13            842,394 
 1590,939      13            845,159 
 1590,939      13            847,907 
 1590,939      13            850,555 
 1590,939      13            853,312 
 1590,939      13            855,99 
 1590,939      13            858,711 
 1590,939      13            861,166 
 1590,939      13            863,896 
 1590,939      13            866,509 
 1590,939      13            869,153 
 1590,939      13            871,792 
 1590,939      13            874,703 
 1590,939      13            877,191 
 1590,939      13            879,937 
 1590,939      13            882,614 
 1590,939      13            885,206 
 1590,939      13            887,857 
 1590,939      13            890,466 
 1590,939      13            893,17 
 1590,939      13            895,691 
 1590,939      13            898,417 
 1590,939      13            901,031 
 1590,939      13            903,627 
 1590,939      13            906,331 
 1590,939      13            908,941 
 1590,939      13            911,473 
 1590,939      13            914,147 
 1590,939      13            917 
 1590,939      13            919,675 
 1590,939      13            922,331 
 1590,939      13            924,739 
 1590,939      13            927,405 
 1590,939      13            929,849 
 1590,939      13            932,373 
 1590,939      13            935,099 
 1590,939      13            937,652 
 1590,939      13            940,201 
 1590,939      13            942,726 
 1590,939      13            945,36 
 1590,939      13            947,914 
 1590,939      13            950,36 
 1590,939      13            953,125 
 1590,939      13            955,648 
 1590,939      13            958,184 
 1590,939      13            960,762 
