Costo de la solución:
 875,560041615113 

1	1	128,04	200	0	81	78	76	71	70	73	77	79	80	63	0
1	2	101,882	200	0	59	60	58	56	53	54	55	57	0
1	3	97,384	200	0	5	99	100	97	93	92	94	95	96	98	0
1	4	94,788	180	0	31	35	37	38	39	36	29	27	25	24	0
1	5	96,32	200	0	11	12	14	16	15	19	18	17	13	0
1	6	76,069	170	0	91	89	88	85	84	82	83	86	87	90	0
1	7	82,459	170	0	23	26	28	30	34	33	32	52	49	47	0
1	8	59,777	130	0	41	40	42	44	45	48	51	50	46	43	0
1	9	57,788	150	0	67	65	62	74	72	61	64	68	66	69	0
1	10	56,021	160	0	10	8	9	6	7	3	4	2	1	75	0
1	11	25,026	50	0	20	22	21	0

Tiempo de ejecución:
 296,080718750003 
