Costo de la solución:
 1507,14113834186 

1	1	109,745	122	0	150	170	85	164	165	77	129	169	168	0
1	2	116,916	106	0	161	110	163	148	92	135	145	16	0
1	3	94,937	178	0	7	69	108	84	134	11	52	38	119	71	0
1	4	97,101	174	0	29	88	138	166	122	36	155	47	59	48	0
1	5	103,359	178	0	192	184	160	115	137	89	185	62	116	0
1	6	91,696	156	0	81	10	80	131	31	162	75	189	57	12	0
1	7	79,579	189	0	125	98	79	15	154	124	20	37	5	103	30	54	0
1	8	80,8	182	0	35	178	78	19	177	133	14	180	132	51	149	0
1	9	88,632	195	0	188	117	181	147	73	146	18	118	25	56	72	0
1	10	77,179	129	0	112	66	186	22	141	91	142	114	156	93	86	0
1	11	54,191	195	0	151	3	55	44	106	32	97	187	40	76	17	126	0
1	12	-0,001	0	0	0
1	13	71,201	192	0	87	4	60	26	100	50	39	109	9	130	95	0
1	14	73,666	182	0	136	199	42	113	68	143	90	41	190	43	197	158	0
1	15	36,39	103	0	96	105	53	198	195	33	6	0
1	16	53,826	198	0	61	193	194	1	191	196	101	28	64	157	2	0
1	17	74,467	144	0	45	153	83	13	123	128	70	27	58	111	0
1	18	77,074	200	0	104	23	183	74	144	24	107	63	49	182	159	67	0
1	19	71,87	178	0	120	171	173	174	82	121	140	94	21	172	139	152	0
1	20	54,504	185	0	175	46	176	102	8	167	179	99	65	34	127	0

Tiempo de ejecución:
 5543,15915625 
