Costo de la solución:
 1487,22293502489 

1	1	109,162	149	0	71	119	165	164	85	170	11	108	149	0
1	2	122,3	97	0	75	162	31	163	148	92	135	0
1	3	98,121	151	0	45	15	154	124	20	166	122	36	155	48	0
1	4	99,851	146	0	42	113	137	89	185	62	116	183	96	0
1	5	83,476	160	0	3	181	145	73	146	18	147	106	44	55	151	0
1	6	74,319	193	0	12	169	80	131	189	57	109	39	130	40	17	0
1	7	89,418	193	0	35	177	133	14	134	84	69	180	132	7	51	0
1	8	57,507	136	0	125	98	29	79	153	99	179	111	127	0
1	9	40,82	180	0	193	194	1	191	158	198	53	195	33	61	0
1	10	77,393	170	0	86	186	22	141	91	142	114	28	64	101	2	157	0
1	11	76,977	200	0	76	187	97	161	9	110	25	56	118	72	32	95	0
1	12	71,994	192	0	54	59	5	103	88	37	138	47	171	139	152	0
1	13	0	0	0	0
1	14	79,616	180	0	26	100	150	52	38	77	10	129	50	168	81	126	0
1	15	77,239	192	0	68	143	41	90	115	160	23	104	67	159	188	0
1	16	63,19	191	0	60	175	178	78	19	8	102	176	46	4	87	0
1	17	56,916	177	0	6	105	192	184	190	43	199	197	136	196	66	112	0
1	18	69,897	156	0	34	65	167	70	128	123	13	83	27	58	0
1	19	63,735	148	0	16	182	49	74	144	24	107	63	117	0
1	20	75,282	175	0	30	120	172	21	173	174	82	121	140	94	156	93	0

Tiempo de ejecución:
 10992,26590625 
