Costo de la solución:
 907,041614655869 

1	1	121,176	130	0	78	34	35	71	65	66	20	30	70	1	0
1	2	99,806	146	0	18	82	19	63	90	32	10	31	69	27	0
1	3	110,401	161	0	52	7	48	47	36	49	64	11	62	88	0
1	4	97,706	149	0	12	80	68	29	24	54	55	25	4	26	53	0
1	5	116,767	194	0	87	15	43	14	44	38	86	16	91	85	6	0
1	6	101,171	141	0	89	60	83	8	46	45	17	84	5	61	96	94	0
1	7	75,276	155	0	50	51	9	81	33	79	3	77	76	28	0
1	8	77,574	188	0	13	95	97	92	59	99	93	98	37	100	42	57	2	58	0
1	9	-0,001	0	0	0
1	10	107,159	194	0	21	72	56	39	67	23	75	41	22	74	73	40	0

Tiempo de ejecución:
 709,937406249999 
