Costo de la solución:
 1239,56779419627 

1	1	104,488	127	0	101	3	121	115	36	85	35	59	11	0
1	2	-0,001	0	0	0
1	3	54,031	192	0	56	146	149	4	143	135	141	148	87	142	145	144	12	0
1	4	106,599	147	0	139	68	96	86	43	99	97	24	98	0
1	5	104,406	150	0	104	30	105	75	39	89	117	73	106	0
1	6	91,44	120	0	17	147	92	42	64	88	40	94	19	150	0
1	7	93,431	133	0	32	80	82	31	28	116	70	22	51	0
1	8	74,255	120	0	81	60	8	26	113	140	120	1	119	77	0
1	9	68,125	181	0	47	55	18	110	133	14	58	132	6	102	46	0
1	10	93,886	198	0	134	25	95	67	13	136	41	66	111	109	0
1	11	50,822	80	0	76	49	54	10	5	0
1	12	72,745	150	0	71	122	125	33	72	91	45	124	123	90	103	0
1	13	97,157	138	0	57	23	69	7	114	61	112	48	138	27	0
1	14	72,641	174	0	38	62	9	130	50	34	74	79	21	118	16	78	0
1	15	77,682	131	0	63	37	137	44	93	65	107	15	52	108	0
1	16	77,853	194	0	126	127	53	129	29	128	84	20	131	83	2	100	0

Tiempo de ejecución:
 4368,46678125 
