Costo de la solución:
 885,380218841295 

1	1	128,04	200	0	81	78	76	71	70	73	77	79	80	63	0
1	2	42,44	140	0	23	26	28	30	27	25	22	21	0
1	3	101,882	200	0	57	59	60	58	56	53	54	55	0
1	4	103,578	200	0	98	96	95	94	92	93	97	100	99	10	0
1	5	92,371	160	0	31	35	37	38	39	36	34	29	24	20	0
1	6	51,85	160	0	5	3	7	8	9	6	4	2	1	75	0
1	7	96,32	200	0	13	17	18	19	15	16	14	12	11	0
1	8	84,894	150	0	43	42	45	48	51	50	52	32	33	0
1	9	76,069	170	0	91	89	88	85	84	82	83	86	87	90	0
1	10	57,788	150	0	69	66	68	64	61	72	74	62	65	67	0
1	11	50,143	80	0	47	49	46	44	40	41	0

Tiempo de ejecución:
 118,554375 
