Costo de la solución:
 1490,50118220826 

1	1	83,373	199	0	150	52	170	11	108	69	7	51	149	60	0
1	2	109,315	153	0	187	97	110	56	25	163	31	40	76	0
1	3	108,811	127	0	71	119	38	165	164	85	134	84	35	0
1	4	99,439	181	0	72	118	148	92	135	146	18	73	147	181	0
1	5	51,118	198	0	127	87	4	111	167	99	179	27	58	45	125	0
1	6	107,899	135	0	114	142	137	89	185	90	115	160	105	0
1	7	76,477	149	0	117	63	107	24	145	144	74	49	182	16	0
1	8	35,658	82	0	26	100	81	168	17	126	0
1	9	81,633	139	0	175	8	78	19	70	128	123	13	83	153	29	0
1	10	76,86	193	0	98	59	103	5	88	37	138	36	155	172	157	2	0
1	11	-0,001	0	0	0
1	12	68,323	167	0	188	159	67	183	116	62	23	104	96	6	0
1	13	77,597	196	0	34	46	65	176	102	178	177	133	14	180	132	0
1	14	99,547	168	0	79	15	154	124	20	166	122	174	47	48	0
1	15	68,522	193	0	151	3	55	44	106	32	161	9	39	109	169	50	12	0
1	16	74,189	190	0	192	184	43	190	41	143	68	113	42	199	136	197	0
1	17	45,441	195	0	193	194	66	196	1	191	158	198	53	195	33	61	0
1	18	70,406	157	0	101	64	28	156	93	22	141	91	186	86	112	0
1	19	68,175	194	0	54	30	120	171	173	82	121	140	94	21	139	152	0
1	20	87,709	170	0	129	77	10	80	131	189	162	75	57	130	95	0

Tiempo de ejecución:
 10383,2625 
