Costo de la solución:
 882,995725008099 

1	1	115,817	145	0	69	70	30	20	66	65	71	35	9	51	1	0
1	2	117,549	178	0	18	82	48	47	36	49	64	11	19	7	52	0
1	3	101,81	184	0	53	40	73	74	22	41	23	67	39	4	26	0
1	4	106,049	149	0	13	97	87	42	14	38	43	15	57	2	58	0
1	5	74,631	146	0	50	33	81	34	78	79	3	77	76	28	0
1	6	95,824	174	0	94	95	59	99	5	84	17	45	46	8	83	60	89	0
1	7	81,937	200	0	92	98	37	100	91	44	86	16	61	85	93	96	6	0
1	8	81,912	123	0	88	62	63	90	32	10	31	27	0
1	9	107,46	159	0	21	72	75	56	25	55	54	24	29	68	80	12	0
1	10	-0,001	0	0	0

Tiempo de ejecución:
 2400,6665625 
