Costo de la solución:
 877,949409643501 

1	1	115,817	145	0	1	51	9	35	71	65	66	20	30	70	69	0
1	2	121,191	133	0	88	62	11	64	49	36	47	46	8	18	0
1	3	106,062	194	0	21	72	75	56	39	67	23	41	22	74	73	40	0
1	4	101,612	197	0	59	98	16	86	38	14	44	91	100	37	92	13	0
1	5	74,631	146	0	50	33	81	34	78	79	3	77	76	28	0
1	6	100,626	178	0	52	7	82	48	19	63	90	32	10	31	27	0
1	7	77,73	151	0	94	95	97	87	42	43	15	57	2	58	53	0
1	8	97,152	135	0	26	54	4	25	55	24	29	68	80	12	0
1	9	83,124	179	0	6	96	99	93	85	61	5	84	17	45	83	60	89	0
1	10	-0,001	0	0	0

Tiempo de ejecución:
 2014,0598125 
