Costo de la solución:
 882,301346013979 

1	1	128,04	200	0	63	80	79	77	73	70	71	76	78	81	0
1	2	101,882	200	0	57	55	54	53	56	58	60	59	0
1	3	98,204	200	0	98	96	95	94	92	93	97	100	99	4	0
1	4	95,803	170	0	26	28	30	34	36	39	38	37	35	31	0
1	5	98,403	200	0	10	13	15	12	14	16	19	18	17	0
1	6	79,065	170	0	24	25	27	29	33	32	52	49	47	0
1	7	76,069	170	0	91	89	88	85	84	82	83	86	87	90	0
1	8	55,432	160	0	75	1	2	6	9	11	8	7	3	5	0
1	9	61,979	130	0	41	40	42	44	46	45	48	51	50	43	0
1	10	57,788	150	0	67	65	62	74	72	61	64	68	66	69	0
1	11	29,632	60	0	21	23	22	20	0

Tiempo de ejecución:
 138,398000000001 
