Costo de la solución:
 884,262593004607 

1	1	117,928	163	0	50	33	81	9	35	71	65	66	20	51	1	0
1	2	117,151	190	0	52	7	82	48	47	36	49	64	63	10	31	0
1	3	107,076	153	0	26	4	56	23	67	39	25	55	54	0
1	4	63,767	163	0	6	96	99	98	85	91	100	37	92	97	87	13	0
1	5	90,255	169	0	12	80	68	24	29	34	78	79	3	77	76	28	0
1	6	96,183	155	0	18	83	8	46	45	17	84	93	59	95	94	0
1	7	114,724	177	0	42	43	14	44	38	86	16	61	5	60	89	0
1	8	94,078	131	0	88	62	19	11	90	32	30	70	69	27	0
1	9	-0,001	0	0	0
1	10	83,096	157	0	58	2	57	15	41	22	75	74	72	73	21	40	53	0

Tiempo de ejecución:
 149,502124999999 
