Costo de la solución:
 1524,34660973647 

1	1	73,491	197	0	102	8	178	78	69	108	180	132	7	51	149	0
1	2	80,113	194	0	67	183	23	160	115	90	143	68	42	41	158	0
1	3	18,11	44	0	2	157	0
1	4	67,775	196	0	151	3	55	44	106	32	161	9	109	39	97	187	95	0
1	5	100,634	137	0	152	120	171	155	36	166	122	140	94	0
1	6	101,923	168	0	186	91	113	137	89	185	62	116	104	0
1	7	65,442	166	0	117	63	107	24	144	74	49	182	159	16	188	0
1	8	48,672	194	0	127	34	65	167	99	179	27	58	111	87	4	0
1	9	114,37	133	0	100	38	165	164	85	133	19	60	0
1	10	91,796	165	0	35	177	14	84	134	170	11	52	150	26	0
1	11	82,185	177	0	103	5	88	37	138	20	124	154	15	79	45	0
1	12	73,996	178	0	175	46	176	70	128	123	13	83	153	29	98	125	0
1	13	80,832	182	0	17	76	40	130	57	75	162	131	80	50	168	0
1	14	56,763	194	0	191	1	197	136	199	43	190	184	192	198	53	195	105	96	0
1	15	70,026	127	0	81	71	119	77	10	129	169	12	126	0
1	16	91,701	180	0	72	110	25	56	118	18	146	73	147	181	0
1	17	36,308	137	0	66	196	194	193	33	61	6	0
1	18	126,599	84	0	145	135	92	148	163	31	189	0
1	19	65,797	200	0	139	172	21	173	121	82	174	47	59	48	30	54	0
1	20	77,804	133	0	112	86	93	22	141	142	114	156	28	64	101	0

Tiempo de ejecución:
 9547,738625 
