Costo de la solución:
 918,488003891058 

1	1	93,846	75	0	36	71	60	70	20	37	0
1	2	89,921	112	0	6	73	1	42	64	22	62	0
1	3	92,971	113	0	9	25	55	18	50	32	0
1	4	81,652	134	0	34	19	59	14	7	67	0
1	5	87,681	126	0	74	21	69	61	28	2	68	0
1	6	85,242	115	0	33	43	41	56	23	63	51	0
1	7	-0,001	0	0	0
1	8	79,513	139	0	35	53	11	66	65	38	0
1	9	76,839	132	0	16	49	24	3	44	40	17	0
1	10	78,742	138	0	45	29	57	15	5	47	48	30	0
1	11	64,391	137	0	46	8	54	13	27	52	4	0
1	12	5,999	20	0	75	0
1	13	81,686	123	0	12	72	39	31	10	58	26	0

Tiempo de ejecución:
 290,407218749999 
