Costo de la solución:
 882,315330384083 

1	1	117,928	163	0	1	51	20	66	65	71	35	9	81	33	50	0
1	2	118,63	178	0	88	62	19	11	64	49	36	47	48	7	52	0
1	3	107,368	180	0	21	73	72	75	56	23	67	39	25	55	54	0
1	4	113,956	194	0	13	97	42	43	14	44	38	86	16	61	5	0
1	5	90,255	169	0	12	80	68	24	29	34	78	79	3	77	76	28	0
1	6	94,172	92	0	18	82	8	46	45	17	84	83	60	89	0
1	7	80,533	127	0	31	10	63	90	32	30	70	69	27	0
1	8	100,985	156	0	26	4	74	22	41	15	57	87	2	40	58	53	0
1	9	-0,001	0	0	0
1	10	58,485	199	0	6	96	99	93	85	91	100	98	37	92	59	95	94	0

Tiempo de ejecución:
 133,828874999999 
