Costo de la solución:
 1507,79173545784 

1	1	56,148	194	0	127	34	46	176	178	78	8	102	65	87	4	0
1	2	127,439	97	0	31	163	148	92	135	145	181	0
1	3	108,891	136	0	84	134	85	164	165	38	119	129	168	0
1	4	98,456	169	0	47	122	166	20	124	154	15	79	153	45	0
1	5	93,194	199	0	96	160	115	185	89	137	113	136	193	61	0
1	6	0	0	0	0
1	7	88,224	182	0	169	10	77	80	131	189	162	75	57	130	40	0
1	8	99,675	188	0	71	150	52	170	11	108	69	14	133	175	0
1	9	66,907	192	0	117	63	107	24	144	74	49	182	159	67	16	0
1	10	44,94	114	0	126	17	76	12	50	100	26	81	0
1	11	72,094	185	0	54	120	171	173	174	82	121	140	94	21	172	139	0
1	12	47,996	160	0	112	186	196	1	191	158	53	198	195	105	6	0
1	13	67,032	191	0	151	3	55	44	32	161	9	39	109	97	187	95	0
1	14	91,001	169	0	147	73	146	18	118	56	25	110	72	106	0
1	15	76,831	195	0	98	29	59	5	103	88	37	138	36	155	48	30	0
1	16	69,685	194	0	197	199	42	68	143	90	41	190	43	184	33	0
1	17	79,353	182	0	188	104	183	116	62	23	192	194	66	2	157	152	0
1	18	63,162	121	0	125	58	27	83	123	13	179	99	111	0
1	19	78,564	195	0	167	70	128	19	177	35	180	132	7	51	149	60	0
1	20	78,19	123	0	101	64	28	156	114	142	91	141	22	93	86	0

Tiempo de ejecución:
 10664,23821875 
