Costo de la solución:
 928,156754586328 

1	1	98,8	79	0	30	69	71	60	70	20	0
1	2	89,912	94	0	22	64	42	1	73	6	0
1	3	92,847	105	0	9	25	55	18	50	17	0
1	4	81,356	138	0	7	35	14	59	19	8	46	0
1	5	10,77	30	0	67	0
1	6	81,686	123	0	12	72	39	31	10	58	26	0
1	7	85,242	115	0	33	43	41	56	23	63	51	0
1	8	77,157	129	0	53	11	66	65	38	0
1	9	78,19	136	0	74	21	61	28	62	2	68	0
1	10	80,634	140	0	40	32	44	3	24	49	16	0
1	11	73,82	140	0	45	29	5	37	36	47	48	75	0
1	12	77,738	135	0	4	27	15	57	13	54	52	34	0
1	13	-0,001	0	0	0

Tiempo de ejecución:
 288,809125 
