Costo de la solución:
 876,90017049651 

1	1	119,023	137	0	1	20	66	65	71	35	9	51	33	50	0
1	2	117,549	178	0	52	7	19	11	64	49	36	47	48	82	18	0
1	3	107,076	153	0	26	4	56	23	67	39	25	55	54	0
1	4	111,96	195	0	94	99	61	16	86	38	44	14	43	42	87	0
1	5	97,247	195	0	12	80	68	24	29	34	78	81	79	3	77	76	28	0
1	6	91,02	104	0	6	96	5	84	17	45	46	8	83	60	89	0
1	7	90,12	155	0	31	88	62	10	63	90	32	30	70	69	27	0
1	8	83,096	157	0	58	2	57	15	41	22	75	74	72	73	21	40	53	0
1	9	59,804	184	0	59	93	85	91	100	37	98	92	97	95	13	0
1	10	-0,001	0	0	0

Tiempo de ejecución:
 2192,1595625 
